employee_id,name,department,date,tasks_completed,hours_worked,quality_score
10005,Mira C.,Asssembly,2025-08-20,32,40,93%
10006,Ethan Z.,Packaging,2025-08-20,43,40,98%
10007,Nina O.,Packaging,2025-08-20,70,40,85%
10008,Leo R.,QA,2025-08-20,70,40,94%
10009,Grace W.,Packaging,2025-08-20,49,40,100%
10010,Omar J.,Asssembly,2025-08-20,55,40,94%
10011,Tina U.,QA,2025-08-20,34,40,86%
10012,Raj V.,Asssembly,2025-08-20,58,40,98%
10013,Chloe Y.,QA,2025-08-20,59,40,91%
10014,Ivan D.,QA,2025-08-20,68,40,89%
10015,Sara G.,QA,2025-08-20,50,40,96%
10001,Alice E.,QA,2025-08-27,38,40,96%
10002,Jake L.,Packaging,2025-08-27,65,40,88%
10003,Lana S.,QA,2025-08-27,45,40,99%
10004,Bruce I.,Asssembly,2025-08-27,47,40,99%
10005,Mira C.,Asssembly,2025-08-27,39,40,88%
10006,Ethan Z.,Asssembly,2025-08-27,48,40,97%
10007,Nina O.,Packaging,2025-08-27,56,40,92%
10008,Leo R.,Asssembly,2025-08-27,50,40,95%
10009,Grace W.,Asssembly,2025-08-27,40,40,100%
10010,Omar J.,Packaging,2025-08-27,59,40,100%
10011,Tina U.,QA,2025-08-27,61,40,85%
10012,Raj V.,Asssembly,2025-08-27,55,40,99%
10013,Chloe Y.,Asssembly,2025-08-27,43,40,96%
10014,Ivan D.,Asssembly,2025-08-27,33,40,94%
10015,Sara G.,QA,2025-08-27,68,40,100%
